学生ID,学期ID,班级ID,班主任ID
14454,1,901,49
14479,1,901,49
14486,1,901,49
14455,1,901,49
15508,1,939,49
14488,1,901,49
14489,1,901,49
14490,1,901,49
14491,1,901,49
14481,1,901,49
14483,1,901,49
14484,1,901,49
14492,1,901,49
14493,1,901,49
14494,1,901,49
14496,1,901,49
14498,1,901,49
14499,1,901,49
14500,1,901,49
14501,1,901,49
14502,1,901,49
14503,1,901,49
14504,1,901,49
14505,1,901,49
14506,1,901,49
16029,1,928,49
14507,1,901,49
14508,1,901,49
14457,1,901,49
14458,1,901,49
14459,1,901,49
14461,1,901,49
14462,1,901,49
14463,1,901,49
14465,1,901,49
14466,1,901,49
14467,1,901,49
14468,1,901,49
14469,1,901,49
14470,1,901,49
14471,1,901,49
14472,1,901,49
14473,1,901,49
14474,1,901,49
14475,1,901,49
14476,1,901,49
14478,1,901,49
14510,1,901,49
14511,1,901,49
15509,1,939,49
15495,1,939,49
15496,1,939,49
15523,1,939,49
15525,1,939,49
15543,1,939,49
15573,1,939,49
15574,1,939,49
15588,1,939,49
15609,1,939,49
15610,1,939,49
15611,1,939,49
15613,1,939,49
15623,1,939,49
15636,1,939,49
15640,1,939,49
15646,1,928,49
15663,1,928,49
15665,1,928,49
15667,1,928,49
15672,1,928,49
15682,1,928,49
15548,1,939,49
15565,1,939,49
15567,1,939,49
15460,1,939,49
15467,1,939,49
15470,1,939,49
15480,1,939,49
15708,1,928,49
15713,1,928,49
15715,1,928,49
15728,1,928,49
15742,1,928,49
15746,1,928,49
15750,1,928,49
15752,1,928,49
16155,1,939,49
15770,1,928,49
15774,1,928,49
15775,1,928,49
15795,1,928,49
15803,1,928,49
15810,1,928,49
15812,1,928,49
15822,1,928,49
15829,1,928,49
15830,1,928,49
15832,1,928,49
15853,1,928,49
15857,1,928,49
15863,1,928,49
15864,1,928,49
15877,1,928,49
15890,1,928,49
15892,1,928,49
15898,1,928,49
16160,1,939,49
16031,1,928,49
16033,1,928,49
16036,1,928,49
16050,1,928,49
16053,1,928,49
16059,1,928,49
16082,1,939,49
16085,1,939,49
16086,1,939,49
16087,1,939,49
16090,1,939,49
16091,1,939,49
16094,1,939,49
16096,1,939,49
16104,1,939,49
16109,1,939,49
16111,1,939,49
16116,1,939,49
16129,1,939,49
16135,1,939,49
16136,1,939,49
16137,1,939,49
16140,1,939,49
16143,1,939,49
16145,1,939,49
16153,1,939,49
14549,1,907,50
14637,1,907,50
14911,1,912,50
14570,1,907,50
14571,1,907,50
14575,1,907,50
14576,1,907,50
14579,1,907,50
14588,1,907,50
14601,1,907,50
14618,1,907,50
14651,1,907,50
14654,1,907,50
14655,1,907,50
14658,1,907,50
14674,1,907,50
14680,1,907,50
14683,1,907,50
14691,1,907,50
14697,1,907,50
14711,1,907,50
14717,1,907,50
14719,1,907,50
14728,1,907,50
14734,1,907,50
14735,1,907,50
14764,1,907,50
14772,1,907,50
14774,1,907,50
14804,1,907,50
14813,1,907,50
14823,1,907,50
14834,1,907,50
14839,1,907,50
14840,1,907,50
14842,1,907,50
14849,1,907,50
14850,1,907,50
14855,1,907,50
14921,1,912,50
14878,1,907,50
14898,1,912,50
14904,1,912,50
14906,1,912,50
14907,1,912,50
14909,1,912,50
14910,1,912,50
14913,1,912,50
14915,1,912,50
14917,1,912,50
14918,1,912,50
14919,1,912,50
14925,1,912,50
14926,1,912,50
14928,1,912,50
14929,1,912,50
14930,1,912,50
14938,1,912,50
14939,1,912,50
14940,1,912,50
14941,1,912,50
14942,1,912,50
14943,1,912,50
13564,1,925,50
14379,1,925,50
13973,1,925,50
13984,1,925,50
13990,1,925,50
14000,1,925,50
14004,1,925,50
14019,1,925,50
14029,1,925,50
14037,1,907,50
14047,1,925,50
14087,1,925,50
14115,1,925,50
14121,1,925,50
14358,1,925,50
14143,1,925,50
14150,1,925,50
14155,1,925,50
14163,1,925,50
14185,1,925,50
14186,1,925,50
14189,1,925,50
14197,1,925,50
14215,1,925,50
14224,1,925,50
14225,1,925,50
14227,1,925,50
14229,1,925,50
14239,1,925,50
14250,1,925,50
15904,1,940,50
14254,1,925,50
14255,1,925,50
14256,1,925,50
14261,1,925,50
14271,1,925,50
14294,1,925,50
14298,1,925,50
14316,1,925,50
14329,1,925,50
14332,1,925,50
14341,1,925,50
14345,1,925,50
14354,1,925,50
14450,1,925,50
14451,1,925,50
14452,1,925,50
14885,1,912,50
14887,1,912,50
14888,1,912,50
14891,1,912,50
14893,1,912,50
14895,1,912,50
14524,1,907,50
14525,1,907,50
14536,1,907,50
14547,1,907,50
15007,1,912,50
15657,1,933,50
15662,1,933,50
15668,1,933,50
15669,1,933,50
15684,1,933,50
15688,1,933,50
15701,1,933,50
15707,1,933,50
15710,1,933,50
15721,1,933,50
15723,1,933,50
15725,1,933,50
15730,1,933,50
15732,1,933,50
15738,1,933,50
15753,1,933,50
15760,1,933,50
15779,1,933,50
15780,1,933,50
15783,1,933,50
15821,1,933,50
15825,1,933,50
15838,1,933,50
15850,1,933,50
15855,1,933,50
15866,1,933,50
15869,1,933,50
15870,1,933,50
15879,1,933,50
15883,1,933,50
15885,1,933,50
15891,1,933,50
15907,1,940,50
15908,1,940,50
15911,1,940,50
15912,1,940,50
15915,1,940,50
15916,1,940,50
15919,1,940,50
15920,1,940,50
15923,1,940,50
15924,1,940,50
15927,1,940,50
15928,1,940,50
15931,1,940,50
15932,1,940,50
15935,1,940,50
15936,1,940,50
15939,1,940,50
15940,1,940,50
15943,1,940,50
15944,1,940,50
15947,1,940,50
15948,1,940,50
15951,1,940,50
15952,1,940,50
15955,1,940,50
15956,1,940,50
15959,1,940,50
15960,1,940,50
15963,1,940,50
16034,1,933,50
16042,1,933,50
16048,1,933,50
16049,1,933,50
16052,1,933,50
16056,1,933,50
16079,1,933,50
16080,1,933,50
14554,1,903,51
14569,1,903,51
14589,1,903,51
14591,1,903,51
14612,1,903,51
14616,1,903,51
14622,1,903,51
14625,1,903,51
14626,1,903,51
14627,1,903,51
14630,1,903,51
14636,1,903,51
14647,1,903,51
14659,1,903,51
14671,1,903,51
14693,1,903,51
14701,1,903,51
14703,1,903,51
14707,1,903,51
14712,1,903,51
14715,1,903,51
14736,1,903,51
14743,1,903,51
14753,1,903,51
14760,1,903,51
14762,1,903,51
14767,1,903,51
14783,1,903,51
14786,1,903,51
14791,1,903,51
14856,1,903,51
14800,1,903,51
14801,1,903,51
14857,1,903,51
14859,1,903,51
14863,1,903,51
14480,1,903,51
13012,1,914,51
13948,1,916,51
13949,1,916,51
13953,1,918,51
13955,1,916,51
13956,1,916,51
13957,1,916,51
13959,1,916,51
13963,1,916,51
13965,1,916,51
13966,1,916,51
13970,1,918,51
13972,1,916,51
13975,1,916,51
13977,1,916,51
13980,1,916,51
13983,1,916,51
13986,1,918,51
13988,1,918,51
13993,1,918,51
14001,1,916,51
14002,1,916,51
14012,1,916,51
14016,1,918,51
14020,1,916,51
14022,1,916,51
14026,1,916,51
14033,1,916,51
14035,1,916,51
14036,1,916,51
14040,1,916,51
14045,1,918,51
14052,1,916,51
14057,1,916,51
14058,1,916,51
14059,1,916,51
14064,1,918,51
14069,1,918,51
14073,1,916,51
14075,1,918,51
14084,1,918,51
14091,1,918,51
14092,1,916,51
14098,1,916,51
14099,1,918,51
14100,1,916,51
14103,1,918,51
14107,1,918,51
14110,1,916,51
14114,1,916,51
14122,1,918,51
14126,1,918,51
14128,1,916,51
14133,1,916,51
14145,1,916,51
14157,1,918,51
14181,1,916,51
14191,1,918,51
14208,1,918,51
14223,1,918,51
14232,1,918,51
14513,1,903,51
14234,1,918,51
14236,1,918,51
14240,1,918,51
14244,1,914,51
14266,1,918,51
14270,1,918,51
14276,1,918,51
14278,1,918,51
14279,1,918,51
14286,1,918,51
14293,1,918,51
14296,1,918,51
14299,1,918,51
14301,1,918,51
14302,1,916,51
14307,1,918,51
14310,1,918,51
14319,1,918,51
14320,1,918,51
14344,1,916,51
14349,1,918,51
14352,1,918,51
14356,1,918,51
14364,1,918,51
14368,1,918,51
14371,1,916,51
14380,1,914,51
14381,1,914,51
14382,1,914,51
14383,1,914,51
14386,1,914,51
14388,1,914,51
14389,1,914,51
14390,1,914,51
14391,1,914,51
14393,1,914,51
14397,1,914,51
14398,1,914,51
14399,1,914,51
14402,1,914,51
14404,1,914,51
14406,1,914,51
14407,1,914,51
14413,1,914,51
14414,1,914,51
14415,1,914,51
14418,1,914,51
14420,1,914,51
14421,1,914,51
14424,1,914,51
14425,1,914,51
14429,1,914,51
14430,1,914,51
14431,1,914,51
14432,1,914,51
14435,1,914,51
14436,1,914,51
14438,1,914,51
14439,1,914,51
14444,1,914,51
14448,1,914,51
14495,1,903,51
14497,1,903,51
14456,1,903,51
14477,1,903,51
14542,1,903,51
14546,1,903,51
14557,1,902,52
14558,1,902,52
14560,1,902,52
14573,1,902,52
14582,1,902,52
14590,1,902,52
14593,1,902,52
14597,1,902,52
14604,1,902,52
14610,1,902,52
14624,1,902,52
14628,1,902,52
14676,1,902,52
14643,1,902,52
14645,1,902,52
14646,1,902,52
14648,1,902,52
14653,1,902,52
14908,1,911,52
14656,1,902,52
14679,1,902,52
14695,1,902,52
14726,1,902,52
14737,1,902,52
14739,1,902,52
14741,1,902,52
14749,1,902,52
14758,1,902,52
14922,1,911,52
14769,1,902,52
14776,1,902,52
14782,1,902,52
14788,1,902,52
14815,1,902,52
14827,1,902,52
14829,1,902,52
14865,1,902,52
14896,1,911,52
14897,1,911,52
14899,1,911,52
14900,1,911,52
14901,1,911,52
14902,1,911,52
14903,1,911,52
14905,1,911,52
14912,1,911,52
14916,1,911,52
14923,1,911,52
14924,1,911,52
14931,1,911,52
14932,1,911,52
14933,1,911,52
14934,1,911,52
14935,1,911,52
14936,1,911,52
14937,1,911,52
14969,1,913,52
15512,1,938,52
13998,1,922,52
14010,1,922,52
14023,1,922,52
14034,1,922,52
14049,1,922,52
14062,1,922,52
14065,1,922,52
14093,1,922,52
14096,1,922,52
14101,1,922,52
14105,1,922,52
14108,1,922,52
14113,1,922,52
14131,1,922,52
14158,1,922,52
14165,1,922,52
14192,1,922,52
14201,1,922,52
14213,1,922,52
14217,1,922,52
14226,1,922,52
14235,1,922,52
14238,1,922,52
14283,1,922,52
14285,1,922,52
14300,1,922,52
14581,1,902,52
14967,1,913,52
14303,1,922,52
14306,1,922,52
14309,1,922,52
14312,1,922,52
14314,1,922,52
14317,1,922,52
14318,1,922,52
14322,1,922,52
14323,1,922,52
14333,1,922,52
14338,1,922,52
14350,1,922,52
14365,1,922,52
14366,1,922,52
14367,1,922,52
14374,1,922,52
14375,1,922,52
14378,1,922,52
14884,1,911,52
14886,1,911,52
14889,1,911,52
14890,1,911,52
14892,1,911,52
14894,1,911,52
14482,1,902,52
14487,1,902,52
14460,1,902,52
14464,1,902,52
14964,1,913,52
14965,1,913,52
14966,1,913,52
14512,1,902,52
14537,1,902,52
14544,1,902,52
14545,1,902,52
14968,1,913,52
14945,1,913,52
14946,1,913,52
14947,1,913,52
14948,1,913,52
14949,1,913,52
14950,1,913,52
14951,1,913,52
14953,1,913,52
14954,1,913,52
14955,1,913,52
14956,1,913,52
14957,1,913,52
14958,1,913,52
14959,1,913,52
14960,1,913,52
14961,1,913,52
14962,1,913,52
14963,1,913,52
14970,1,913,52
14971,1,913,52
14972,1,913,52
14973,1,913,52
14974,1,913,52
14975,1,913,52
14976,1,913,52
14977,1,913,52
14978,1,913,52
14979,1,913,52
14980,1,913,52
14981,1,913,52
14982,1,913,52
14983,1,913,52
14984,1,913,52
14985,1,913,52
14986,1,913,52
14987,1,913,52
14988,1,913,52
14989,1,913,52
14990,1,913,52
14991,1,913,52
14992,1,913,52
14993,1,913,52
14994,1,913,52
14995,1,913,52
14996,1,913,52
14997,1,913,52
14998,1,913,52
14999,1,913,52
15000,1,913,52
15001,1,913,52
15009,1,913,52
15484,1,938,52
15491,1,938,52
15494,1,938,52
15501,1,938,52
15522,1,938,52
15531,1,938,52
15532,1,938,52
15535,1,938,52
15579,1,938,52
15586,1,938,52
15599,1,938,52
15604,1,938,52
15608,1,938,52
15621,1,938,52
15634,1,938,52
15639,1,938,52
15506,1,938,52
15514,1,938,52
16162,1,938,52
15544,1,938,52
15553,1,938,52
15554,1,938,52
15555,1,938,52
15556,1,938,52
15559,1,944,52
15458,1,938,52
15461,1,938,52
15462,1,938,52
15466,1,938,52
15468,1,938,52
15476,1,938,52
15479,1,938,52
16081,1,938,52
16083,1,938,52
16089,1,938,52
16100,1,938,52
16105,1,938,52
16106,1,938,52
16112,1,938,52
16117,1,938,52
16127,1,938,52
16128,1,938,52
16147,1,938,52
16148,1,938,52
16158,1,938,52
14561,1,908,53
14562,1,908,53
14585,1,908,53
14586,1,908,53
14595,1,908,53
14598,1,908,53
14609,1,908,53
14619,1,908,53
14632,1,908,53
14642,1,908,53
14664,1,908,53
14665,1,908,53
14670,1,908,53
14672,1,908,53
14677,1,908,53
14686,1,908,53
14692,1,908,53
14871,1,908,53
14710,1,908,53
14722,1,908,53
14756,1,908,53
14768,1,908,53
14784,1,908,53
14798,1,908,53
14806,1,908,53
14817,1,908,53
14821,1,908,53
14822,1,908,53
14835,1,908,53
14844,1,908,53
14846,1,908,53
14852,1,908,53
14872,1,908,53
14050,1,908,53
14516,1,908,53
14518,1,908,53
14522,1,908,53
14526,1,908,53
14535,1,908,53
14539,1,908,53
15648,1,926,53
15656,1,926,53
15674,1,926,53
15677,1,926,53
15692,1,926,53
15697,1,926,53
15706,1,926,53
15709,1,926,53
15714,1,926,53
15716,1,926,53
15717,1,926,53
15722,1,926,53
15737,1,926,53
15739,1,926,53
15743,1,926,53
15755,1,926,53
15756,1,926,53
15758,1,926,53
15762,1,926,53
15767,1,926,53
15769,1,926,53
15773,1,926,53
15784,1,926,53
15788,1,926,53
15800,1,926,53
15804,1,926,53
15805,1,926,53
15808,1,926,53
15813,1,926,53
15814,1,926,53
15824,1,926,53
15826,1,926,53
15837,1,926,53
15839,1,926,53
15849,1,926,53
15859,1,926,53
15875,1,926,53
15878,1,926,53
15882,1,926,53
15888,1,926,53
14551,1,909,54
14552,1,905,54
14553,1,909,54
14556,1,909,54
14566,1,905,54
14568,1,905,54
14572,1,905,54
14574,1,905,54
14578,1,909,54
14580,1,905,54
14594,1,905,54
14596,1,905,54
14600,1,905,54
14603,1,909,54
14720,1,909,54
14613,1,905,54
14617,1,905,54
14640,1,909,54
14650,1,905,54
14660,1,909,54
14662,1,905,54
14663,1,909,54
14682,1,909,54
14684,1,905,54
14688,1,909,54
14694,1,905,54
14698,1,905,54
14705,1,905,54
14718,1,905,54
14721,1,905,54
14723,1,905,54
14724,1,909,54
14725,1,909,54
14727,1,909,54
14731,1,905,54
14732,1,909,54
14733,1,909,54
14738,1,909,54
14745,1,905,54
14748,1,905,54
14750,1,909,54
14751,1,909,54
14755,1,905,54
14763,1,909,54
14770,1,905,54
14775,1,905,54
14779,1,905,54
14780,1,909,54
14781,1,909,54
14785,1,905,54
14787,1,909,54
14793,1,909,54
14795,1,909,54
14799,1,909,54
14808,1,905,54
14811,1,905,54
14812,1,909,54
14816,1,905,54
14876,1,909,54
14826,1,909,54
14828,1,905,54
14831,1,905,54
14832,1,909,54
14836,1,909,54
14838,1,909,54
14841,1,905,54
14843,1,905,54
14861,1,909,54
14882,1,905,54
14866,1,905,54
14867,1,905,54
14868,1,905,54
14873,1,909,54
14881,1,909,54
14914,1,909,54
14920,1,909,54
14927,1,909,54
15483,1,934,54
13947,1,921,54
13950,1,921,54
13951,1,921,54
13952,1,921,54
13954,1,921,54
13958,1,921,54
13962,1,921,54
13964,1,921,54
13968,1,917,54
13969,1,921,54
13974,1,921,54
13976,1,921,54
13978,1,921,54
13981,1,921,54
13982,1,921,54
13985,1,921,54
