学生ID,学期ID,班级ID,班主任ID
13987,1,921,54
13991,1,915,54
13995,1,921,54
13996,1,921,54
13997,1,921,54
13999,1,921,54
14003,1,921,54
14005,1,921,54
14006,1,915,54
14021,1,921,54
14024,1,921,54
14025,1,921,54
14030,1,921,54
14031,1,921,54
14039,1,921,54
14041,1,921,54
14048,1,921,54
14053,1,917,54
14054,1,917,54
14066,1,917,54
14068,1,917,54
14082,1,917,54
14083,1,921,54
14085,1,921,54
14089,1,921,54
14095,1,917,54
14097,1,917,54
14106,1,917,54
14111,1,921,54
14112,1,917,54
14123,1,917,54
14130,1,917,54
14137,1,921,54
14142,1,921,54
14146,1,921,54
14148,1,921,54
14152,1,921,54
14156,1,917,54
14159,1,917,54
14168,1,917,54
14174,1,917,54
14179,1,917,54
14183,1,917,54
14187,1,917,54
14188,1,921,54
14202,1,917,54
14207,1,917,54
14209,1,917,54
14210,1,917,54
14212,1,921,54
14218,1,921,54
14221,1,921,54
14237,1,921,54
14246,1,917,54
14247,1,917,54
14249,1,917,54
14252,1,917,54
14257,1,917,54
14259,1,917,54
14260,1,917,54
14262,1,921,54
14267,1,917,54
14280,1,921,54
14287,1,917,54
14288,1,917,54
14290,1,917,54
14295,1,917,54
14305,1,917,54
14315,1,917,54
14321,1,917,54
14327,1,917,54
14337,1,917,54
14339,1,917,54
14340,1,921,54
14384,1,915,54
14385,1,915,54
14387,1,915,54
14392,1,915,54
14394,1,915,54
14395,1,915,54
14396,1,915,54
14400,1,915,54
14401,1,915,54
14403,1,915,54
14405,1,915,54
14408,1,915,54
14409,1,915,54
14410,1,915,54
14411,1,915,54
14412,1,915,54
14416,1,915,54
14417,1,915,54
14422,1,915,54
14423,1,915,54
14426,1,915,54
14427,1,915,54
14428,1,915,54
14433,1,915,54
14434,1,915,54
14437,1,915,54
14440,1,915,54
14441,1,915,54
14442,1,915,54
14443,1,915,54
14445,1,915,54
14446,1,915,54
14447,1,915,54
14453,1,917,54
14514,1,905,54
14515,1,905,54
14519,1,905,54
14520,1,909,54
15513,1,934,54
14523,1,909,54
14527,1,905,54
14543,1,909,54
14944,1,909,54
15003,1,909,54
15497,1,934,54
15499,1,934,54
15507,1,934,54
15519,1,934,54
15528,1,934,54
15529,1,934,54
15536,1,934,54
15541,1,934,54
15571,1,934,54
15572,1,934,54
15575,1,934,54
15580,1,934,54
15583,1,934,54
15597,1,934,54
15600,1,934,54
15602,1,934,54
15605,1,934,54
15614,1,934,54
15615,1,934,54
15618,1,934,54
15620,1,934,54
15625,1,934,54
15626,1,934,54
15628,1,934,54
15631,1,934,54
15632,1,934,54
15633,1,934,54
15641,1,934,54
15645,1,934,54
15647,1,927,54
15651,1,927,54
15654,1,927,54
15661,1,927,54
15524,1,934,54
15670,1,927,54
15673,1,927,54
15683,1,927,54
15546,1,934,54
15547,1,934,54
15550,1,934,54
15566,1,934,54
15568,1,934,54
15459,1,934,54
15471,1,934,54
15472,1,934,54
15475,1,934,54
15481,1,934,54
15690,1,927,54
15703,1,927,54
15705,1,927,54
15711,1,927,54
15712,1,927,54
15719,1,927,54
15724,1,927,54
15741,1,927,54
15745,1,927,54
15759,1,927,54
15765,1,927,54
15781,1,927,54
15789,1,927,54
15792,1,927,54
15798,1,927,54
15809,1,927,54
15811,1,927,54
15820,1,927,54
15823,1,927,54
15828,1,927,54
15831,1,927,54
15840,1,927,54
15841,1,927,54
15845,1,927,54
15854,1,927,54
15858,1,927,54
15876,1,927,54
15880,1,927,54
15884,1,927,54
15893,1,927,54
15897,1,927,54
15902,1,927,54
15903,1,927,54
16126,1,934,54
14599,1,906,17
14602,1,906,17
14605,1,906,17
14607,1,906,17
14608,1,906,17
14615,1,906,17
14621,1,906,17
14635,1,906,17
14824,1,906,17
14641,1,906,17
14649,1,906,17
14652,1,906,17
14657,1,906,17
14673,1,906,17
14675,1,906,17
14685,1,906,17
14696,1,906,17
14709,1,906,17
14730,1,906,17
14742,1,906,17
14744,1,906,17
14747,1,906,17
14752,1,906,17
14754,1,906,17
14757,1,906,17
14778,1,906,17
14805,1,906,17
14809,1,906,17
14820,1,906,17
14845,1,906,17
14851,1,906,17
14853,1,906,17
14862,1,906,17
14877,1,906,17
14879,1,906,17
15504,1,935,17
15002,1,906,17
14517,1,906,17
14521,1,906,17
14528,1,906,17
14530,1,906,17
14531,1,906,17
14532,1,906,17
14533,1,906,17
14540,1,906,17
15004,1,906,17
15505,1,935,17
15487,1,935,17
15489,1,935,17
15490,1,935,17
15493,1,935,17
15503,1,935,17
15511,1,935,17
15515,1,935,17
15533,1,935,17
15534,1,935,17
15539,1,935,17
15540,1,935,17
15542,1,935,17
15569,1,935,17
15576,1,935,17
15577,1,935,17
15581,1,935,17
15589,1,935,17
15594,1,935,17
15595,1,935,17
15598,1,935,17
15601,1,935,17
15603,1,935,17
15606,1,935,17
15612,1,935,17
15616,1,935,17
15627,1,935,17
15630,1,935,17
15635,1,935,17
15643,1,935,17
15644,1,935,17
15510,1,935,17
15545,1,935,17
15551,1,935,17
15557,1,935,17
15558,1,935,17
15561,1,935,17
15563,1,935,17
15564,1,935,17
15463,1,935,17
15473,1,935,17
15474,1,935,17
14555,1,910,56
14565,1,910,56
14567,1,910,56
14583,1,910,56
14584,1,910,56
14587,1,910,56
14606,1,910,56
14611,1,910,56
14620,1,910,56
14623,1,910,56
14633,1,910,56
14644,1,910,56
14661,1,910,56
14667,1,910,56
14668,1,910,56
14669,1,910,56
14678,1,910,56
14689,1,910,56
14706,1,910,56
14713,1,910,56
14740,1,910,56
14761,1,910,56
14765,1,910,56
14789,1,910,56
14790,1,910,56
14794,1,910,56
14797,1,910,56
14807,1,910,56
14810,1,910,56
14814,1,910,56
14818,1,910,56
14830,1,910,56
14833,1,910,56
14847,1,910,56
14854,1,910,56
14858,1,910,56
14860,1,910,56
14864,1,910,56
14870,1,910,56
14883,1,910,56
15991,1,942,56
15925,1,941,56
15999,1,942,56
13599,1,924,56
13685,1,924,56
13960,1,924,56
14548,1,910,56
13967,1,947,56
13992,1,924,56
14017,1,924,56
14028,1,924,56
14038,1,924,56
14042,1,924,56
14055,1,924,56
14056,1,924,56
14070,1,924,56
14074,1,924,56
14078,1,924,56
14080,1,924,56
14088,1,924,56
14094,1,924,56
14104,1,924,56
14127,1,924,56
14134,1,924,56
14138,1,924,56
14140,1,924,56
14141,1,924,56
14147,1,924,56
14161,1,924,56
14162,1,924,56
14169,1,924,56
14173,1,924,56
14180,1,924,56
14182,1,924,56
14194,1,924,56
14199,1,924,56
14220,1,924,56
14230,1,924,56
14242,1,924,56
14248,1,924,56
14268,1,924,56
14272,1,924,56
14292,1,924,56
14325,1,924,56
14335,1,924,56
14336,1,924,56
14351,1,924,56
14369,1,924,56
14449,1,924,56
15993,1,942,56
14534,1,910,56
14538,1,910,56
14952,1,942,56
15658,1,930,56
15649,1,929,56
15652,1,929,56
15653,1,929,56
15655,1,930,56
15659,1,930,56
15660,1,929,56
15666,1,932,56
16028,1,929,56
15671,1,929,56
15675,1,929,56
15679,1,932,56
15680,1,929,56
15681,1,932,56
15988,1,942,56
15989,1,942,56
15926,1,941,56
15990,1,942,56
15686,1,932,56
15687,1,932,56
15689,1,929,56
15691,1,930,56
15693,1,932,56
15694,1,932,56
15695,1,929,56
15696,1,932,56
15698,1,929,56
15699,1,929,56
15700,1,929,56
15702,1,930,56
15718,1,930,56
15720,1,930,56
15726,1,929,56
15727,1,929,56
15729,1,932,56
15731,1,929,56
15733,1,932,56
15735,1,930,56
15744,1,932,56
15748,1,929,56
15749,1,929,56
15751,1,930,56
15754,1,932,56
15757,1,932,56
15763,1,929,56
15764,1,930,56
15766,1,932,56
15768,1,932,56
15771,1,932,56
15776,1,932,56
15777,1,932,56
15778,1,932,56
15785,1,932,56
15787,1,929,56
15790,1,929,56
15791,1,930,56
15794,1,930,56
15796,1,929,56
15797,1,930,56
15799,1,930,56
15801,1,930,56
15806,1,929,56
15807,1,932,56
15815,1,930,56
15816,1,932,56
15817,1,930,56
15818,1,932,56
15827,1,932,56
15833,1,929,56
15835,1,930,56
15843,1,929,56
15844,1,932,56
15846,1,930,56
15847,1,929,56
15848,1,932,56
15851,1,929,56
15856,1,930,56
15861,1,932,56
15862,1,929,56
15865,1,930,56
15867,1,929,56
15868,1,930,56
15871,1,929,56
15872,1,932,56
15873,1,930,56
15874,1,932,56
15881,1,932,56
15886,1,932,56
15887,1,929,56
15889,1,932,56
15894,1,929,56
15899,1,929,56
15900,1,930,56
15901,1,930,56
15905,1,941,56
15906,1,941,56
15909,1,941,56
15910,1,941,56
15913,1,941,56
15914,1,941,56
15917,1,941,56
15918,1,941,56
15921,1,941,56
15922,1,941,56
15929,1,941,56
15930,1,941,56
15933,1,941,56
15934,1,941,56
15937,1,941,56
15938,1,941,56
15941,1,941,56
15942,1,941,56
15945,1,941,56
15946,1,941,56
15949,1,941,56
15950,1,941,56
15953,1,941,56
15954,1,941,56
15957,1,941,56
15958,1,941,56
15961,1,941,56
15962,1,941,56
15992,1,942,56
16010,1,942,56
16012,1,942,56
16019,1,942,56
15964,1,942,56
15966,1,942,56
15967,1,942,56
15968,1,942,56
15969,1,942,56
15970,1,942,56
15971,1,942,56
15972,1,942,56
15973,1,942,56
15974,1,942,56
15976,1,942,56
15977,1,942,56
15978,1,942,56
15980,1,942,56
15981,1,942,56
15982,1,942,56
15983,1,942,56
15984,1,942,56
15985,1,942,56
15986,1,942,56
15987,1,942,56
16030,1,930,56
16032,1,930,56
16035,1,929,56
16038,1,930,56
16039,1,930,56
16040,1,929,56
16041,1,932,56
16045,1,932,56
16046,1,930,56
16051,1,930,56
16054,1,929,56
16055,1,930,56
16060,1,930,56
16061,1,929,56
16062,1,930,56
16063,1,932,56
16067,1,932,56
16068,1,929,56
16070,1,930,56
16071,1,929,56
16072,1,932,56
16074,1,930,56
16075,1,930,56
16076,1,929,56
16077,1,932,56
16078,1,932,56
16149,1,932,56
16157,1,930,56
14550,1,904,57
14559,1,904,57
14563,1,904,57
14592,1,904,57
14614,1,904,57
14629,1,904,57
14631,1,904,57
14634,1,904,57
14638,1,904,57
14639,1,904,57
14666,1,904,57
14681,1,904,57
14687,1,904,57
14690,1,904,57
14699,1,904,57
14700,1,904,57
14702,1,904,57
14704,1,904,57
14708,1,904,57
14714,1,904,57
14729,1,904,57
14746,1,904,57
14759,1,904,57
14766,1,904,57
14771,1,904,57
14773,1,904,57
14777,1,904,57
14792,1,904,57
14796,1,904,57
14802,1,904,57
14803,1,904,57
14819,1,904,57
14825,1,904,57
14837,1,904,57
14848,1,904,57
14869,1,904,57
14874,1,904,57
14875,1,904,57
14880,1,904,57
15995,1,943,57
13961,1,923,57
13979,1,923,57
13989,1,923,57
13994,1,923,57
14008,1,923,57
14015,1,923,57
16000,1,943,57
14063,1,923,57
14076,1,923,57
14077,1,923,57
14081,1,923,57
14086,1,923,57
14102,1,923,57
14117,1,923,57
14118,1,923,57
14119,1,923,57
14149,1,923,57
14154,1,923,57
14160,1,923,57
14166,1,923,57
14167,1,923,57
14172,1,923,57
14176,1,923,57
14198,1,923,57
14205,1,923,57
14228,1,923,57
14231,1,923,57
14233,1,923,57
14243,1,923,57
14263,1,923,57
14264,1,923,57
14265,1,923,57
14289,1,923,57
14328,1,923,57
14331,1,923,57
14343,1,923,57
14346,1,923,57
14357,1,923,57
14359,1,923,57
14363,1,923,57
14370,1,923,57
14372,1,923,57
14485,1,943,57
14529,1,904,57
14541,1,904,57
15008,1,904,57
15005,1,904,57
15006,1,904,57
15650,1,931,57
15664,1,931,57
15676,1,931,57
15678,1,931,57
15685,1,931,57
16161,1,943,57
15996,1,943,57
16001,1,943,57
15998,1,943,57
15704,1,931,57
15734,1,931,57
15740,1,931,57
15747,1,931,57
15761,1,931,57
15772,1,931,57
15782,1,931,57
15786,1,931,57
15793,1,931,57
15802,1,931,57
15819,1,931,57
15834,1,931,57
15836,1,931,57
15842,1,931,57
15852,1,931,57
15860,1,931,57
16002,1,943,57
15895,1,931,57
15896,1,931,57
15997,1,943,57
16004,1,943,57
16005,1,943,57
16006,1,943,57
16007,1,943,57
16008,1,943,57
16009,1,943,57
16011,1,943,57
16014,1,943,57
16015,1,943,57
16016,1,943,57
16017,1,943,57
16018,1,943,57
16020,1,943,57
16021,1,943,57
16022,1,943,57
16023,1,943,57
16024,1,943,57
16025,1,943,57
16026,1,943,57
16027,1,943,57
15965,1,943,57
15975,1,943,57
15979,1,943,57
16037,1,931,57
16043,1,931,57
16044,1,931,57
16047,1,931,57
16057,1,931,57
16058,1,931,57
16064,1,931,57
16069,1,931,57
16073,1,931,57
16159,1,943,57
16150,1,931,57
14564,1,945,58
14577,1,945,58
14716,1,945,58
13971,1,919,58
14007,1,919,58
14009,1,920,58
14011,1,919,58
14013,1,919,58
14014,1,919,58
14018,1,920,58
14027,1,920,58
14067,1,919,58
14032,1,920,58
14043,1,919,58
14044,1,919,58
14046,1,920,58
14051,1,919,58
14060,1,920,58
14061,1,919,58
14071,1,920,58
14072,1,920,58
14079,1,919,58
14090,1,919,58
14109,1,920,58
14116,1,920,58
14120,1,920,58
14124,1,920,58
14125,1,919,58
14129,1,920,58
14132,1,919,58
14135,1,919,58
14136,1,919,58
14139,1,919,58
14144,1,919,58
14151,1,920,58
14153,1,919,58
14164,1,920,58
14170,1,920,58
14171,1,920,58
14175,1,920,58
14177,1,919,58
14178,1,919,58
14184,1,919,58
14190,1,920,58
14193,1,920,58
14195,1,920,58
14196,1,920,58
14200,1,919,58
14203,1,920,58
14204,1,920,58
14206,1,919,58
14211,1,919,58
14214,1,920,58
14216,1,920,58
14219,1,920,58
14222,1,919,58
14241,1,920,58
14245,1,919,58
14251,1,919,58
14253,1,919,58
14258,1,919,58
14269,1,920,58
14273,1,920,58
14274,1,920,58
14275,1,920,58
14277,1,920,58
14281,1,919,58
14282,1,920,58
14284,1,920,58
14291,1,919,58
15516,1,937,58
14297,1,919,58
14304,1,920,58
14308,1,920,58
14311,1,920,58
14313,1,919,58
14324,1,919,58
14326,1,919,58
14330,1,920,58
14334,1,920,58
14342,1,919,58
14347,1,919,58
14348,1,919,58
14353,1,920,58
14355,1,920,58
14360,1,920,58
14361,1,919,58
14362,1,919,58
14373,1,919,58
14376,1,920,58
14377,1,920,58
15517,1,936,58
16092,1,936,58
15485,1,936,58
15486,1,937,58
15488,1,937,58
15492,1,936,58
15498,1,936,58
15500,1,936,58
15520,1,936,58
15526,1,937,58
15537,1,937,58
15538,1,937,58
15482,1,936,58
15570,1,937,58
15578,1,936,58
15582,1,936,58
15584,1,936,58
15585,1,936,58
15587,1,937,58
15590,1,936,58
15591,1,937,58
15592,1,936,58
15593,1,937,58
15596,1,937,58
15607,1,937,58
15617,1,937,58
15619,1,937,58
15622,1,937,58
15624,1,936,58
15629,1,937,58
15637,1,936,58
15638,1,936,58
15642,1,936,58
15502,1,937,58
15518,1,936,58
15521,1,936,58
15527,1,937,58
15530,1,937,58
15549,1,936,58
15552,1,936,58
15560,1,937,58
15562,1,937,58
15457,1,936,58
15464,1,936,58
15465,1,937,58
15469,1,937,58
15477,1,936,58
15478,1,936,58
16084,1,936,58
16088,1,937,58
16093,1,937,58
16095,1,936,58
16097,1,936,58
16098,1,936,58
16099,1,937,58
16101,1,936,58
16102,1,937,58
16103,1,937,58
16107,1,936,58
16108,1,936,58
16110,1,936,58
16113,1,937,58
16114,1,937,58
16115,1,937,58
16118,1,937,58
16119,1,936,58
16120,1,937,58
16121,1,936,58
16122,1,936,58
16123,1,937,58
16124,1,937,58
16125,1,936,58
16130,1,937,58
16131,1,937,58
16132,1,936,58
16133,1,936,58
16134,1,937,58
16138,1,937,58
16139,1,937,58
16141,1,937,58
16142,1,936,58
16144,1,936,58
16146,1,937,58
16154,1,936,58
16156,1,936,58
16151,1,936,58
16152,1,937,58
